id_paciente,nombre,apellido_paterno,apellido_materno,seguro_social,latitud,longitud
P0001,Ana,Martínez,López,72633523399,18.991408655115418,-97.58591464468785
P0002,Elena,Hernández,Ramírez,58512492060,19.223686996331608,-99.07196624313252
P0003,María,García,Sánchez,77840110102,32.25832058865112,-114.82120675907515
P0004,Sofía,Rodríguez,Pérez,15192787754,18.135523118034662,-96.63795037347249
P0005,Miguel,Rodríguez,Torres,83537784904,31.690950055332337,-106.48643095543663
P0006,Elena,Pérez,Martínez,67748911580,29.684997276102674,-108.98055026249769
P0007,Elena,Rodríguez,Pérez,3870585748,18.842898851023403,-98.8052877337843
P0008,Elena,López,Sánchez,84116387822,32.499522805607114,-117.05239773937397
P0009,Juan,García,Pérez,73137377100,22.759922904517865,-101.66215511969959
P0010,Lucía,Torres,Pérez,11612572176,21.181152271520975,-97.45377544672984
P0011,Juan,Martínez,Sánchez,69104821905,21.538212889458954,-104.87546825372621
P0012,Luis,Torres,Ramírez,83219365280,19.828499002433965,-99.87688532225198
P0013,Carlos,González,Martínez,94416502477,30.286659591402262,-107.81090110074149
P0014,Elena,Hernández,Rodríguez,7641863822,21.116127331779815,-101.65001259609892
P0015,Ana,Hernández,García,63703227962,17.48272059568351,-98.9422227640062
P0016,Miguel,Rodríguez,Sánchez,57776048570,22.726131452065342,-102.53922419808737
P0017,Luis,Hernández,García,47951984149,19.871443164044848,-102.11046393117984
P0018,Sofía,Rodríguez,Ramírez,89063543087,15.513903764422961,-92.81932582631823
P0019,Sofía,Hernández,Martínez,62459642725,20.507128288184724,-100.8439433023412
P0020,Lucía,López,Sánchez,17064375314,18.837689307685107,-97.2695989523356
P0021,Juan,Hernández,Torres,10145438103,19.449824980577173,-97.12529585995392
P0022,Jorge,Hernández,Sánchez,38102250593,18.660193263478273,-98.36230823514622
P0023,Ana,Sánchez,Sánchez,34283238912,17.15248927523176,-96.45297533019138
P0024,Juan,Sánchez,González,42447877049,19.877043449804752,-97.52356997812329
P0025,Carlos,García,García,33489439533,14.937086824213297,-92.23968206922123
P0026,Carlos,Torres,Ramírez,82774009363,19.38751736229404,-101.69658328204642
P0027,Ana,Torres,Pérez,93205511865,17.24030573588498,-100.31404827099263
P0028,Jorge,García,Hernández,76125657858,16.865048028247866,-99.8933137124599
P0029,Ana,Sánchez,Pérez,8804781037,29.318341460324973,-100.99356731396284
P0030,Sofía,González,García,17307787567,22.948797412095352,-105.61418239021502
P0031,Lucía,Pérez,García,67580296969,20.82153261704395,-98.6677933200011
P0032,Elena,López,López,71679014633,20.322718320883006,-101.43713265421634
P0033,Elena,Sánchez,Torres,24553605729,20.452283800822233,-103.8881204065741
P0034,Lucía,Martínez,Pérez,66020598590,19.01074224183433,-100.08516850795792
P0035,Lucía,Torres,Pérez,8074047490,16.689357335360544,-99.38556848807133
P0036,Jorge,Torres,Ramírez,31705790305,20.29018424992014,-88.93386452346653
P0037,Carlos,Martínez,Torres,72143977310,22.834016521154528,-97.86191574433954
P0038,Miguel,Martínez,Ramírez,4695004669,19.47795173642316,-97.92323369407512
P0039,Ana,González,Torres,90941405748,19.07147890303292,-98.22039192459118
P0040,Carlos,Hernández,López,63546404330,17.676262623098605,-94.96316282313079
P0041,Jorge,Pérez,Rodríguez,5841982398,31.192156193658438,-105.8641411085299
P0042,Juan,Hernández,Ramírez,98712484150,21.30421926983748,-98.58966709431226
P0043,Elena,González,López,49131919208,20.448343206085745,-99.26211721224173
P0044,Juan,Rodríguez,Rodríguez,37828954961,19.552248131111913,-100.96315271158102
P0045,Ana,Rodríguez,López,608168173,27.287147835143013,-109.59090679095988
P0046,Carlos,Rodríguez,Ramírez,73140061223,20.75083564140747,-105.24339914816554
P0047,Luis,Rodríguez,Ramírez,33699554880,31.7341726861041,-106.3963807764252
P0048,Luis,López,González,27395240943,17.721513657186712,-96.54931820716004
P0049,Sofía,Rodríguez,Torres,90077970116,23.07162170315734,-99.67849259065432
P0050,Juan,Rodríguez,Hernández,33062792687,19.526748246205138,-99.02991000643586
P0051,Carlos,Pérez,García,86777150803,19.447209575483114,-99.11363984033552
P0052,Carlos,Martínez,Martínez,38367184191,25.78154271856096,-100.36916862588103
P0053,Juan,López,Rodríguez,18220713950,17.47620623909768,-97.29957264705813
P0054,Luis,Torres,Martínez,14011612289,17.718402160829974,-98.5670862235614
P0055,Elena,Ramírez,González,6612177850,20.09319644583253,-98.0613680584292
P0056,Ana,González,López,76800227133,18.001008851777573,-94.57451035051604
P0057,Luis,Martínez,Torres,24966218060,24.230812822075205,-104.37673237994171
P0058,Sofía,Martínez,Ramírez,46112872478,27.69591490061087,-105.17127941920815
P0059,Lucía,Pérez,García,8635286653,19.491676210734067,-99.14311938899273
P0060,Elena,Hernández,Ramírez,9887125727,19.324999807132915,-103.86163529800076
P0061,Elena,Sánchez,García,77932971520,27.463313025110775,-102.39978244085249
P0062,Juan,Rodríguez,Ramírez,52112332706,19.996477081160414,-102.28933982320964
P0063,Juan,Ramírez,Sánchez,15321180519,22.313750236576603,-97.8830528572432
P0064,Jorge,Rodríguez,López,69801948402,19.178279191953294,-99.41950661549791
P0065,Sofía,Sánchez,Hernández,58925446655,28.47028532737511,-106.75243562727205
P0066,Lucía,García,Martínez,57949213633,19.843088745722206,-100.03396595740936
P0067,Lucía,Pérez,Torres,47816487240,20.760031011062228,-105.3268099232713
P0068,Miguel,Hernández,Hernández,62217299225,25.55007172580318,-104.23679839151195
P0069,Elena,Sánchez,Martínez,7053237899,16.78745483645282,-97.82747175775428
P0070,Carlos,Sánchez,González,73573313287,20.134100423922614,-97.77346595612077
P0071,Luis,Hernández,Ramírez,65848570987,20.713243221591416,-104.2256265310427
P0072,Sofía,Sánchez,Sánchez,95932061357,18.959542561592272,-99.19366705786155
P0073,Elena,Rodríguez,García,43261551090,19.618455125418027,-99.10105281618279
P0074,Miguel,García,Pérez,88901690063,28.91083929776554,-109.34441007340496
P0075,Luis,García,Ramírez,35594837938,20.156656328047465,-99.7537420035398
P0076,Ana,Martínez,Sánchez,12133940711,31.00880182461358,-107.19564438156691
P0077,Miguel,Sánchez,Torres,31249826750,32.61908457613422,-115.49630750507247
P0078,Juan,González,Torres,15408393321,20.118313685248847,-100.18966756652144
P0079,Luis,Rodríguez,López,84659007398,27.518482249914022,-99.88186430307141
P0080,Carlos,López,Pérez,18776788161,19.97823041829643,-101.23076124222247
P0081,Elena,Torres,Martínez,64047480757,24.24775202555996,-103.1917993577331
P0082,Lucía,Sánchez,Pérez,51644814439,19.70846731702017,-101.23285806574943
P0083,Carlos,Hernández,Torres,80636759660,16.892243973224964,-98.31617042377275
P0084,Elena,Pérez,Hernández,95814919037,25.80509410338003,-108.98863229016892
P0085,Miguel,Torres,Hernández,30456975252,20.04762630735218,-99.38217498624515
P0086,Sofía,García,Martínez,2744082579,27.671656892621602,-105.17662685202802
P0087,Juan,Martínez,Torres,64822037821,21.748210096077745,-103.77532045983182
P0088,Sofía,Hernández,García,10330480040,24.721981466381028,-99.8665884167627
P0089,Elena,García,Ramírez,94696296610,20.12248649965922,-104.19868914112388
P0090,Juan,Hernández,González,83194100063,22.41547034469111,-103.90138066282499
P0091,Sofía,López,Sánchez,69650463947,20.66059539944338,-101.34504699655295
P0092,María,Sánchez,García,19871733781,19.418823518717886,-102.90519083836057
P0093,Luis,González,Rodríguez,44530409189,25.69285715875902,-100.57253632182403
P0094,María,Hernández,Pérez,26408763403,18.90067111670167,-98.4494795966836
P0095,Jorge,Hernández,González,11049731500,25.235273714986416,-98.62657576578279
P0096,Miguel,Ramírez,Pérez,52592468926,20.886674971588743,-103.94509311016041
P0097,Sofía,Sánchez,González,59083879368,19.231615346087484,-103.71751037206432
P0098,Jorge,Pérez,López,4734805567,17.775206319340572,-97.70805801292622
P0099,Sofía,García,Ramírez,20858095619,16.19767580327781,-95.20233062736848
P0100,Elena,Martínez,Ramírez,96809302506,20.298769238791937,-96.87684618648245
P0101,Jorge,Pérez,García,28302317307,22.46611640862867,-99.0331284539046
P0102,Miguel,Sánchez,González,28066360209,22.358179072990847,-102.85558553209056
P0103,María,Ramírez,Pérez,75912916425,16.71225310789652,-93.2114175957174
P0104,María,Torres,López,54315213282,24.523707016979532,-99.84032016487086
P0105,Miguel,Ramírez,Pérez,5888665090,19.97466000469493,-100.71610795970706
P0106,Lucía,Martínez,González,48132714561,20.374345759657576,-99.64217359301529
P0107,María,González,Hernández,93880787801,19.436854546153512,-99.29158700906473
P0108,María,Sánchez,Martínez,37386999661,16.91298432739693,-99.84811518244442
P0109,María,Pérez,Torres,91479544135,17.286233905382517,-98.66371337470407
P0110,Jorge,Hernández,García,1294614712,24.780726663084373,-103.07530371965362
P0111,Jorge,Martínez,Pérez,15731753460,19.750220351698044,-88.71781332190707
P0112,Sofía,Sánchez,Hernández,54546514570,26.76333820187089,-105.58817632522337
P0113,Elena,Rodríguez,Ramírez,99324225074,23.250879443191327,-106.39464030127671
P0114,Sofía,Torres,Rodríguez,43736550448,18.65371974068414,-91.76755373132919
P0115,Luis,Hernández,García,51988472955,18.446926568065063,-100.66225022238643
P0116,Ana,García,López,84596688591,17.35900588467043,-98.57533635019654
P0117,Sofía,García,Martínez,61705218984,21.101508596753035,-87.48573061121317
P0118,Ana,López,Pérez,66557589481,19.125459000087407,-98.43668491376552
P0119,Lucía,Rodríguez,Martínez,8018799981,17.495992966420996,-98.88450131910878
P0120,Jorge,González,Pérez,90283958061,20.16215250086227,-99.71718085066259
P0121,Elena,Ramírez,Torres,25543515393,19.89100874252662,-103.55343324107142
P0122,Sofía,González,Martínez,95138556482,23.28686181381889,-106.05573993031732
P0123,Elena,Hernández,Rodríguez,3373496095,17.803901711292216,-98.86833123080648
P0124,Sofía,Sánchez,González,73100908869,20.522866488861183,-103.23720710140189
P0125,Lucía,Torres,González,98056031479,20.572147549777895,-98.38487876342734
P0126,Lucía,González,Pérez,98060241196,18.64226262387529,-98.37154109660918
P0127,Lucía,Martínez,Rodríguez,28169992561,25.268258281629542,-100.15902759664705
P0128,Luis,Martínez,Ramírez,9658814321,27.522645646466685,-109.9231757808973
P0129,Elena,García,Sánchez,28238861006,19.462763133030407,-99.47846063526335
P0130,Ana,Torres,Pérez,75189306176,31.64480766032957,-106.37760111942472
