id_doctor,usuario_login,contrasena
D001,djcastillo,djcastillo01
D002,dsloya,dsloya01
D003,dcmolina,dcmolina01
D004,dglagunas,dglagunas01
D005,dldueas,dldueas01
D006,dvpayn,dvpayn01
D007,djburgos,djburgos01
D008,dlemus,dlemus01
D009,djpichardo,djpichardo01
D010,dsfraustro,dsfraustro01
D011,deamador,deamador01
D012,dgnieto,dgnieto01
D013,dgnieto2,dgnieto201
D014,dmtamariz,dmtamariz01
D015,daaraujo,daaraujo01
D016,daaraujo2,daaraujo201
D017,dhescareo,dhescareo01
D018,dhescareo2,dhescareo201
D019,dlguzmn,dlguzmn01
D020,defuentes,defuentes01
D021,defuentes2,defuentes201
D022,dmjimenez,dmjimenez01
D023,derangel,derangel01
D024,derangel2,derangel201
D025,debarragan,debarragan01
D026,dxllanas,dxllanas01
D027,deportugal,deportugal01
D028,drgarca,drgarca01
D029,dmramrez,dmramrez01
D030,dumartnez,dumartnez01
D031,dmmendoza,dmmendoza01
D032,dvzquez,dvzquez01
D033,dvzquez2,dvzquez201
D034,dvzquez3,dvzquez301
D035,drespadas,drespadas01
D036,demalpica,demalpica01
D037,djbravo,djbravo01
D038,dmcasillas,dmcasillas01
D039,djrojas,djrojas01
D040,dcpedroza,dcpedroza01
D041,djgmez,djgmez01
D042,dgleal,dgleal01
D043,daortiz,daortiz01
D044,daortiz2,daortiz201
D045,dsflores,dsflores01
D046,daramrez,daramrez01
D047,daramrez2,daramrez201
D048,dhlpez,dhlpez01
D049,devalenzuela,devalenzuela01
D050,dedaz,dedaz01
D051,dgrodrguez,dgrodrguez01
D052,dcsandoval,dcsandoval01
D053,djreyes,djreyes01
D054,dadazleal,dadazleal01
D055,djuribe,djuribe01
D056,dcarguello,dcarguello01
D057,dmgoytorta,dmgoytorta01
D058,djflores,djflores01
D059,doaguilar,doaguilar01
D060,drlvarez,drlvarez01
D061,dmlagunas,dmlagunas01
D062,djfigueroa,djfigueroa01
D063,dmcataln,dmcataln01
D064,dovalero,dovalero01
D065,dgramrez,dgramrez01
D066,dcenrquez,dcenrquez01
D067,drmartnez,drmartnez01
D068,dmlipp,dmlipp01
D069,dfarguelles,dfarguelles01
D070,drnieto,drnieto01
D071,djisusi,djisusi01
D072,djmarn,djmarn01
D073,dgmier,dgmier01
D074,djpinete,djpinete01
D075,djpinete2,djpinete201
D076,dichvez,dichvez01
D077,dmegea,dmegea01
D078,dmegea2,dmegea201
D079,dmegea3,dmegea301
D080,dscanela,dscanela01
D081,djbracho,djbracho01
D082,dalpez,dalpez01
D083,demartnez,demartnez01
D084,dmortegn,dmortegn01
D085,dfmorales,dfmorales01
D086,dimartinez,dimartinez01
D087,dimartinez2,dimartinez201
D088,dghernndez,dghernndez01
D089,dmtorres,dmtorres01
D090,dmtorres2,dmtorres201
D091,dlsandoval,dlsandoval01
D092,djhernndez,djhernndez01
D093,dazarate,dazarate01
D094,dfsachias,dfsachias01
D095,daronces,daronces01
D096,ddresendiz,ddresendiz01
D097,detovar,detovar01
D098,detovar2,detovar201
D099,dicedillo,dicedillo01
D100,dicedillo2,dicedillo201
D101,dhvillalobos,dhvillalobos01
D102,dhvillalobos2,dhvillalobos201
D103,djdaz,djdaz01
D104,dbtamariz,dbtamariz01
D105,demeza,demeza01
D106,dogmez,dogmez01
D107,ddrivera,ddrivera01
D108,drmorelos,drmorelos01
D109,drmorelos2,drmorelos201
D110,dagidi,dagidi01
D111,dagidi2,dagidi201
D112,deceron,deceron01
D113,davillamour,davillamour01
D114,dbponce,dbponce01
D115,djjones,djjones01
D116,deaviles,deaviles01
D117,djrojas2,djrojas201
D118,dygarcia,dygarcia01
D119,dhvzquez,dhvzquez01
D120,drsierra,drsierra01
D121,duvillanueva,duvillanueva01
D122,deduarte,deduarte01
D123,deduarte2,deduarte201
D124,djaponte,djaponte01
D125,djaponte2,djaponte201
D126,dbcampos,dbcampos01
D127,dcbetancourt,dcbetancourt01
D128,dhortiz,dhortiz01
D129,dfrodrguez,dfrodrguez01
D130,ddchvez,ddchvez01
D131,dcullar,dcullar01
D132,dqcontreras,dqcontreras01
D133,dlarrona,dlarrona01
D134,dlmartnez,dlmartnez01
D135,dhgonzlez,dhgonzlez01
D136,djasso,djasso01
D137,dwmolina,dwmolina01
D138,dialtamirano,dialtamirano01
D139,dhherrera,dhherrera01
D140,dlpizano,dlpizano01
D141,djzavala,djzavala01
D142,datrejo,datrejo01
D143,dfvillareal,dfvillareal01
D144,drsnchez,drsnchez01
D145,dmleyte,dmleyte01
D146,djdartigues,djdartigues01
D147,drmass,drmass01
D148,dmmeja,dmmeja01
D149,dmmeja2,dmmeja201
D150,dpmainero,dpmainero01
D151,dpmainero2,dpmainero201
D152,daherrera,daherrera01
D153,daherrera2,daherrera201
D154,djestvez,djestvez01
D155,dgmoreno,dgmoreno01
D156,djrodrguez,djrodrguez01
D157,dshuazano,dshuazano01
D158,dehernndez,dehernndez01
D159,dflpez,dflpez01
D160,dflpez2,dflpez201
D161,dfmendoza,dfmendoza01
D162,daaguirre,daaguirre01
D163,djsaucedo,djsaucedo01
D164,dofuentes,dofuentes01
D165,ddvaldes,ddvaldes01
D166,damembrillo,damembrillo01
D167,djsilva,djsilva01
D168,dggmez,dggmez01
D169,dccaballero,dccaballero01
D170,dccaballero2,dccaballero201
D171,dagutierrez,dagutierrez01
D172,dagutierrez2,dagutierrez201
D173,dmmeza,dmmeza01
D174,ddvalds,ddvalds01
D175,dgllanes,dgllanes01
D176,dgllanes2,dgllanes201
D177,dasosa,dasosa01
D178,dasosa2,dasosa201
D179,djgurria,djgurria01
D180,dahernndez,dahernndez01
D181,dogalaviz,dogalaviz01
D182,dogalaviz2,dogalaviz201
D183,dichvez2,dichvez201
D184,dichvez3,dichvez301
D185,darendon,darendon01
D186,dsgonzalez,dsgonzalez01
D187,ddherrera,ddherrera01
D188,damelendez,damelendez01
D189,dareynoso,dareynoso01
D190,dhtorres,dhtorres01
D191,dalagunas,dalagunas01
D192,dcmeja,dcmeja01
D193,dealdana,dealdana01
D194,dmliquidano,dmliquidano01
D195,dmhernndez,dmhernndez01
D196,djfernndez,djfernndez01
D197,dxsnchez,dxsnchez01
D198,djgopar,djgopar01
D199,dscorts,dscorts01
D200,djbonnet,djbonnet01
D201,dpgasca,dpgasca01
D202,dlolivares,dlolivares01
D203,dgsoto,dgsoto01
D204,dhacevedo,dhacevedo01
D205,dmbalanzario,dmbalanzario01
D206,dmbalanzario2,dmbalanzario201
D207,dlestrada,dlestrada01
D208,dlestrada2,dlestrada201
D209,decruz,decruz01
D210,dcalba,dcalba01
D211,dcalba2,dcalba201
D212,djherrera,djherrera01
D213,djherrera2,djherrera201
D214,dmtrejo,dmtrejo01
D215,diaguilar,diaguilar01
D216,djbollas,djbollas01
D217,dsjimnez,dsjimnez01
D218,dcgutierrez,dcgutierrez01
D219,ddvallejo,ddvallejo01
D220,dfcarlos,dfcarlos01
D221,djrevollo,djrevollo01
D222,dsgarca,dsgarca01
D223,drromo,drromo01
D224,djtorres,djtorres01
D225,dcreyes,dcreyes01
D226,drmachorro,drmachorro01
D227,djmoncada,djmoncada01
D228,dahernndez2,dahernndez201
D229,dahernndez3,dahernndez301
D230,dpfelix,dpfelix01
D231,daambrosio,daambrosio01
D232,dugordoa,dugordoa01
D233,drgarca2,drgarca201
D234,djferrero,djferrero01
D235,dlsurez,dlsurez01
D236,dalopez,dalopez01
D237,delvarez,delvarez01
D238,djaldazosa,djaldazosa01
D239,djalemn,djalemn01
D240,dfchvez,dfchvez01
D241,dfchvez2,dfchvez201
D242,daprez,daprez01
D243,decampos,decampos01
D244,djpadilla,djpadilla01
D245,dpjimnez,dpjimnez01
D246,dmlvarez,dmlvarez01
D247,dmarmenta,dmarmenta01
D248,ddarriaga,ddarriaga01
D249,dgpalacios,dgpalacios01
D250,dgpalacios2,dgpalacios201
D251,dpjimnez2,dpjimnez201
D252,dajerezano,dajerezano01
D253,ddpalacios,ddpalacios01
D254,dranzures,dranzures01
D255,dmgordillo,dmgordillo01
D256,dedelgadillo,dedelgadillo01
D257,dedelgadillo2,dedelgadillo201
D258,dedelgadillo3,dedelgadillo301
D259,dedelgadillo4,dedelgadillo401
D260,dgnegrete,dgnegrete01
D261,daromero,daromero01
D262,dmfranco,dmfranco01
D263,ddparra,ddparra01
D264,dscontreras,dscontreras01
D265,djflores2,djflores201
D266,damanzano,damanzano01
D267,dalugo,dalugo01
D268,dafonseca,dafonseca01
D269,djacua,djacua01
D270,dpcamacho,dpcamacho01
D271,digmez,digmez01
D272,dmcrdenas,dmcrdenas01
D273,dpgaviln,dpgaviln01
D274,dlbustamante,dlbustamante01
D275,digarca,digarca01
D276,djfragoso,djfragoso01
D277,daulloa,daulloa01
D278,djvzquez,djvzquez01
D279,deventura,deventura01
D280,dfrodrguez2,dfrodrguez201
D281,detenorio,detenorio01
D282,dvzubieta,dvzubieta01
D283,dvzubieta2,dvzubieta201
D284,deaguirre,deaguirre01
D285,dprez,dprez01
D286,dscomboni,dscomboni01
D287,dlrivera,dlrivera01
D288,dmalvarado,dmalvarado01
D289,daromero2,daromero201
D290,daromero3,daromero301
D291,dinavarrete,dinavarrete01
D292,drbrieo,drbrieo01
D293,djfrancis,djfrancis01
D294,dgmoral,dgmoral01
D295,dgmoral2,dgmoral201
D296,ddromero,ddromero01
D297,dsmontalvo,dsmontalvo01
D298,dgzazueta,dgzazueta01
D299,ddcisneros,ddcisneros01
D300,dgfuentes,dgfuentes01
D301,dereyes,dereyes01
D302,dereyes2,dereyes201
D303,decontreras,decontreras01
D304,djaguilar,djaguilar01
D305,dsgall,dsgall01
D306,dnolivos,dnolivos01
D307,deguilln,deguilln01
D308,deguilln2,deguilln201
D309,donajera,donajera01
D310,demecalco,demecalco01
D311,djmartnez,djmartnez01
D312,dcvelzquez,dcvelzquez01
D313,dnvillanueva,dnvillanueva01
D314,dgarguelles,dgarguelles01
D315,dmruiz,dmruiz01
D316,ddvelzquez,ddvelzquez01
D317,dfgarca,dfgarca01
D318,dgfigueroa,dgfigueroa01
D319,dachvez,dachvez01
D320,dddelint,dddelint01
D321,dachvez2,dachvez201
D322,demonjaraz,demonjaraz01
D323,dlesquivel,dlesquivel01
D324,dmlvarez2,dmlvarez201
D325,dcmanriquez,dcmanriquez01
D326,dbarcos,dbarcos01
D327,dlsevilla,dlsevilla01
D328,difuente,difuente01
D329,djlpez,djlpez01
D330,dzmartnez,dzmartnez01
